Area code,Area name,Median age,House Price, Median Salary (weekly) ,Spending,Region,Net
E07000223,Adur,45,340403,530.6,665.4,South East,-134.8
E07000026,Allerdale,48,165242,644.5,507.8,North West,136.7
E07000032,Amber Valley,46,204071,601.1,540,East Midlands,61.1
E07000224,Arun,49,313726,574.5,665.4,South East,-90.9
E07000170,Ashfield,42,162845,535.5,540,East Midlands,-4.5
E07000105,Ashford,41,310845,597.9,665.4,South East,-67.5
E07000200,Babergh,49,297979,574.9,572.2,East,2.7
E09000002,Barking and Dagenham,33,312288,639.4,669.3,London,-29.9
E09000003,Barnet,37,544682,686.3,669.3,London,17
E08000016,Barnsley,42,143469,534.6,476.5,Yorkshire and The Humber,58.1
E07000027,Barrow-in-Furness,44,131544,632.1,507.8,North West,124.3
E07000066,Basildon,39,329141,630.4,572.2,East,58.2
E07000084,Basingstoke and Deane,40,318849,726.6,665.4,South East,61.2
E07000171,Bassetlaw,45,175680,503.7,540,East Midlands,-36.3
E06000022,Bath and North East Somerset,39,376033,583.4,574.2,South West,9.2
E06000055,Bedford,39,298449,624.5,572.2,East,52.3
E09000004,Bexley,39,358959,716,669.3,London,46.7
E08000025,Birmingham,34,207523,562.7,507.2,West Midlands,55.5
E07000129,Blaby,42,247808,587.3,540,East Midlands,47.3
E06000008,Blackburn with Darwen,36,127154,530.7,507.8,North West,22.9
E06000009,Blackpool,43,116939,470.3,507.8,North West,-37.5
E07000033,Bolsover,43,150322,522.3,540,East Midlands,-17.7
E08000001,Bolton,38,152837,528.3,507.8,North West,20.5
E07000136,Boston,42,167795,495.7,540,East Midlands,-44.3
E06000058,Bournemouth Christchurch and Poole,42,300899,560.9,574.2,South West,-13.3
E06000036,Bracknell Forest,39,329951,726.5,665.4,South East,61.1
E08000032,Bradford,36,151970,546.1,476.5,Yorkshire and The Humber,69.6
E07000067,Braintree,43,296716,600.9,572.2,East,28.7
E07000143,Breckland,46,254312,521.1,572.2,East,-51.1
E09000005,Brent,35,479010,631.8,669.3,London,-37.5
E07000068,Brentwood,42,440316,665.4,572.2,East,93.2
E06000043,Brighton and Hove,38,400060,617.8,665.4,South East,-47.6
E06000023,Bristol,34,277950,622.8,574.2,South West,48.6
E07000144,Broadland,48,291896,564.8,572.2,East,-7.4
E09000006,Bromley,41,456681,789.6,669.3,London,120.3
E07000234,Bromsgrove,45,311587,668.3,507.2,West Midlands,161.1
E07000095,Broxbourne,40,374805,684.1,572.2,East,111.9
E07000172,Broxtowe,43,216470,652.3,540,East Midlands,112.3
E06000060,Buckinghamshire,42,422076,689.9,665.4,South East,24.5
E07000117,Burnley,39,105618,530.5,507.8,North West,22.7
E08000002,Bury,40,217288,607.8,507.8,North West,100
E08000033,Calderdale,42,167426,533.6,476.5,Yorkshire and The Humber,57.1
E07000008,Cambridge,31,498370,728.9,572.2,East,156.7
E09000007,Camden,34,812624,787.1,669.3,London,117.8
E07000192,Cannock Chase,42,201477,582.8,507.2,West Midlands,75.6
E07000106,Canterbury,41,319851,577.6,665.4,South East,-87.8
E07000028,Carlisle,44,141744,548.6,507.8,North West,40.8
E07000069,Castle Point,46,325642,620.8,572.2,East,48.6
E06000056,Central Bedfordshire,41,323583,680.6,572.2,East,108.4
E07000130,Charnwood,39,256412,555.5,540,East Midlands,15.5
E07000070,Chelmsford,41,349531,659.2,572.2,East,87
E07000078,Cheltenham,40,298720,657.4,574.2,South West,83.2
E07000177,Cherwell,40,305403,647.6,665.4,South East,-17.8
E06000049,Cheshire East,45,252137,626.5,507.8,North West,118.7
E06000050,Cheshire West and Chester,43,234481,608.8,507.8,North West,101
E07000034,Chesterfield,44,173885,547.7,540,East Midlands,7.7
E07000225,Chichester,48,396771,654.9,665.4,South East,-10.5
E07000118,Chorley,43,197511,645.1,507.8,North West,137.3
E09000001,City of London,37,793432,"£1,000.00",669.3,London,330.7
E07000029,Copeland,47,138099,868.8,507.8,North West,361
E06000052,Cornwall,47,270079,517.2,574.2,South West,-57
E07000079,Cotswold,49,414427,601.8,574.2,South West,27.6
E06000047,County Durham,43,117576,548.5,459.4,North East,89.1
E08000026,Coventry,35,198402,602.6,507.2,West Midlands,95.4
E07000163,Craven,50,245181,525.1,476.5,Yorkshire and The Humber,48.6
E07000226,Crawley,37,292562,593.9,665.4,South East,-71.5
E09000008,Croydon,37,394879,710.7,669.3,London,41.4
E07000096,Dacorum,40,432507,689.9,572.2,East,117.7
E06000005,Darlington,43,139574,583.3,459.4,North East,123.9
E07000107,Dartford,37,319069,693,665.4,South East,27.6
E06000015,Derbyshire,37,203263,585.3,540,East Midlands,45.3
E07000035,Derbyshire Dales,51,295813,566.4,540,East Midlands,26.4
E08000017,Doncaster,41,146778,568.8,476.5,Yorkshire and The Humber,92.3
E06000059,Dorset,51,320064,580.3,574.2,South West,6.1
E07000108,Dover,46,282216,642.5,665.4,South East,-22.9
E08000027,Dudley,41,198745,589.1,507.2,West Midlands,81.9
